Model,Pipeline,auc_mean,auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,recall_0_mean,recall_0_std,f1_mean,f1_std,threshold_mean,threshold_std
FastHGTConv,CTGAN,0.9183,0.0178,0.8718,0.0192,0.8204,0.0207,0.8902,0.0335,0.8586,0.0181,0.8537,0.0222,0.538,0.046
FastHGTConv,No Balancing,0.9208,0.0136,0.8793,0.0277,0.8224,0.0512,0.9147,0.0345,0.8533,0.0558,0.8649,0.027,0.516,0.0971
FastHGTConv,ROS,0.9271,0.0185,0.8808,0.014,0.8211,0.0288,0.9183,0.03,0.8533,0.0358,0.8663,0.0133,0.536,0.0744
FastHGTConv,SMOTE,0.9201,0.0111,0.8554,0.0553,0.8216,0.0344,0.841,0.1589,0.8664,0.0418,0.824,0.0896,0.356,0.0932
HeteroGATv2,CTGAN,0.8936,0.0249,0.8436,0.0561,0.7796,0.0734,0.8831,0.0504,0.8149,0.0728,0.8272,0.0572,0.532,0.1307
HeteroGATv2,No Balancing,0.897,0.0388,0.8511,0.0513,0.796,0.0637,0.8726,0.0808,0.8354,0.0585,0.831,0.0594,0.44,0.116
HeteroGATv2,ROS,0.9018,0.0379,0.8496,0.0588,0.7906,0.0856,0.8865,0.0508,0.8225,0.0881,0.8339,0.0578,0.496,0.0945
HeteroGATv2,SMOTE,0.9187,0.0132,0.8748,0.0263,0.8192,0.0618,0.9111,0.0475,0.8481,0.0696,0.8602,0.0225,0.494,0.0695
HyperTMO,CTGAN,0.8326,0.0197,0.772,0.0285,0.7228,0.0526,0.7551,0.089,0.7839,0.0702,0.7344,0.0386,0.516,0.0167
HyperTMO,No Balancing,0.8238,0.0214,0.7556,0.0265,0.6833,0.0275,0.7869,0.124,0.7325,0.0637,0.7269,0.048,0.47,0.0442
HyperTMO,ROS,0.8401,0.0186,0.7735,0.0222,0.7101,0.0183,0.7803,0.0795,0.7686,0.0301,0.7417,0.0387,0.542,0.0179
HyperTMO,SMOTE,0.8385,0.0121,0.7705,0.0248,0.6962,0.0307,0.8085,0.0441,0.7429,0.0395,0.7475,0.0266,0.514,0.0195
MOGAT,CTGAN,0.9206,0.0176,0.8689,0.0348,0.7999,0.0595,0.9253,0.039,0.8276,0.0645,0.8566,0.0339,0.536,0.0445
MOGAT,No Balancing,0.9215,0.0128,0.8808,0.0205,0.8263,0.0376,0.9111,0.0508,0.8584,0.0465,0.8653,0.0222,0.49,0.0957
MOGAT,ROS,0.9225,0.0154,0.8763,0.0173,0.8187,0.0199,0.9076,0.0558,0.8533,0.0277,0.8599,0.0239,0.508,0.0356
MOGAT,SMOTE,0.922,0.0187,0.8793,0.0201,0.8267,0.0488,0.9076,0.0324,0.8585,0.0519,0.8638,0.0174,0.52,0.06
RGCN,CTGAN,0.8078,0.027,0.7438,0.0361,0.6599,0.0453,0.8189,0.0375,0.6889,0.0748,0.7294,0.0254,0.528,0.0249
RGCN,No Balancing,0.8192,0.022,0.7601,0.0252,0.6821,0.0415,0.8154,0.0523,0.7198,0.0675,0.7408,0.019,0.496,0.0885
RGCN,ROS,0.814,0.0315,0.7482,0.0347,0.6737,0.0482,0.7905,0.0441,0.7173,0.0739,0.7257,0.027,0.466,0.0385
RGCN,SMOTE,0.8194,0.0335,0.7557,0.0437,0.6829,0.0672,0.8082,0.0819,0.7173,0.1024,0.7357,0.0364,0.508,0.0923
SGNN,CTGAN,0.8132,0.0339,0.7571,0.0401,0.6802,0.0526,0.8085,0.066,0.7198,0.0702,0.7367,0.0394,0.48,0.0308
SGNN,No Balancing,0.8161,0.026,0.7706,0.0302,0.699,0.0319,0.805,0.1189,0.7452,0.0708,0.744,0.0502,0.456,0.0537
SGNN,ROS,0.8293,0.0187,0.784,0.0339,0.7149,0.048,0.8154,0.067,0.7608,0.0594,0.7601,0.0368,0.508,0.082
SGNN,SMOTE,0.8323,0.0162,0.7735,0.02,0.7008,0.0283,0.8083,0.0416,0.748,0.0416,0.7499,0.0205,0.516,0.0888
VEGN,CTGAN,0.9071,0.0172,0.8659,0.0294,0.8109,0.0327,0.8898,0.0733,0.8482,0.0363,0.847,0.0389,0.548,0.0356
VEGN,No Balancing,0.9099,0.0187,0.8629,0.0222,0.7925,0.0439,0.9183,0.0369,0.8224,0.0534,0.8496,0.0201,0.456,0.0416
VEGN,ROS,0.9063,0.0217,0.8748,0.0282,0.8171,0.0438,0.9076,0.0324,0.8508,0.0435,0.8593,0.0296,0.534,0.0568
VEGN,SMOTE,0.9114,0.0184,0.8703,0.0174,0.8103,0.0404,0.9076,0.0496,0.8431,0.0464,0.8547,0.0185,0.49,0.0292
